Luke Brattan,Midfielder,52,Luke Brattan - Manchester City,126
Anthony Caceres,Midfielder,52,Anthony Caceres - Manchester City,126
Kevin de Bruyne,Midfielder,52,Kevin de Bruyne - Manchester City,126
Fernandinho,Midfielder,52,Fernandinho - Manchester City,126
Aleix Garcia-Serrano,Midfielder,52,Aleix Garcia-Serrano - Manchester City,126
Claudio Gomes,Midfielder,52,Claudio Gomes - Manchester City,126
Ilkay Gundogan,Midfielder,52,Ilkay Gundogan - Manchester City,126
Rodri Hernandez,Midfielder,52,Rodri Hernandez - Manchester City,126
Riyad Mahrez,Midfielder,52,Riyad Mahrez - Manchester City,126
Patrick Roberts,Midfielder,52,Patrick Roberts - Manchester City,126
Philippe Sandler,Midfielder,52,Philippe Sandler - Manchester City,126
David Silva,Midfielder,52,David Silva - Manchester City,126
Raheem Sterling,Midfielder,52,Raheem Sterling - Manchester City,126
Ferran Torres,Midfielder,52,Ferran Torres - Manchester City,126
Oleksandr Zinchenko,Midfielder,52,Oleksandr Zinchenko - Manchester City,126
Sergio Aguero,Striker,52,Sergio Aguero - Manchester City,126
Phil Foden,Striker,52,Phil Foden - Manchester City,126
Daniel Grimshaw,Striker,52,Daniel Grimshaw - Manchester City,126
Gabriel (Fernando de) Jesus,Striker,52,Gabriel (Fernando de) Jesus - Manchester City,126
Marlos Moreno,Striker,52,Marlos Moreno - Manchester City,126
Pablo Moreno,Striker,52,Pablo Moreno - Manchester City,126
Lucas Nmecha,Striker,52,Lucas Nmecha - Manchester City,126
Bernardo Silva,Striker,52,Bernardo Silva - Manchester City,126
